MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
0.401,50,5.6,2.49,3372.0,2.97,37.1815,-122.8123,0.977
0.278,22,4.35,1.99,642.0,3.49,35.8127,-114.3773,1.195
0.19,2,6.69,3.06,4601.0,2.4,41.1233,-118.8155,
0.2,2,8.23,3.82,3489.0,3.68,37.6783,-124.0974,1.121
0.216,49,5.98,2.74,2408.0,2.59,33.6188,-123.6443,0.948
0.354,27,4.87,2.22,3929.0,2.89,38.4407,-118.4388,1.068
0.313,20,2.97,1.63,3312.0,4.15,36.195,-115.7294,0.971
0.379,41,3.82,1.96,1438.0,2.32,38.9499,-114.614,0.822
0.256,31,7.05,3.72,4022.0,3.5,39.9687,-114.5834,1.571
0.314,34,4.47,1.93,1423.0,3.7,41.8627,-118.4245,1.075
0.37,35,5.13,2.11,1298.0,3.22,37.9781,-114.1952,1.288
0.267,10,6.16,3.69,3061.0,2.92,35.9841,-122.9292,1.158
0.349,5,6.98,2.89,289.0,4.49,36.6192,-123.506,
0.236,37,5.3,2.5,3226.0,2.99,36.3249,-124.1821,0.668
0.262,2,5.1,2.21,2842.0,3.14,36.7801,-116.3716,1.631
0.26,36,5.57,2.53,3658.0,2.76,32.7856,-114.8757,1.054
0.196,7,4.87,2.04,964.0,3.11,34.8496,-115.6817,0.688
0.353,14,4.93,2.3,2985.0,3.67,41.8837,-114.6338,1.469
0.252,36,5.91,3.24,2319.0,2.81,41.3161,-118.7453,1.101
0.299,32,5.69,2.73,1037.0,1.52,32.9587,-116.4881,0.918
0.352,40,7.63,3.46,2369.0,3.36,41.806,-120.9645,1.849
0.348,31,5.94,2.89,4635.0,2.25,40.0236,-116.4509,1.548
0.375,3,6.65,2.98,4156.0,3.52,32.5261,-116.593,2.302
0.287,42,4.43,2.12,999.0,3.0,41.1779,-119.9262,1.304
0.256,11,6.03,3.04,4264.0,3.66,41.6235,-124.0405,2.005
0.289,7,4.78,2.54,2913.0,2.34,38.4732,-121.7042,1.268
0.165,44,5.9,2.92,426.0,2.63,39.9891,-115.2056,0.969
0.179,10,6.19,2.89,4616.0,2.76,35.6591,-118.3337,0.823
0.187,27,5.55,3.25,2724.0,1.96,37.9371,-120.2465,1.393
0.21,25,7.91,4.07,4582.0,3.78,39.4497,-114.5523,0.979
0.342,39,6.93,4.07,672.0,1.86,37.832,-120.6524,2.232
0.217,3,6.68,3.38,1005.0,3.77,35.3937,-121.0551,2.02
0.26,6,6.26,2.68,4529.0,3.3,38.6674,-116.4098,1.165
0.469,21,7.26,3.9,1345.0,2.86,40.465,-120.7693,2.764
0.262,24,4.06,1.81,2836.0,3.24,40.4421,-119.8146,1.043
0.385,40,6.87,2.57,3088.0,3.22,33.7556,-116.9142,1.666
0.214,31,4.51,1.89,4751.0,2.72,36.7315,-119.9837,0.608
0.277,8,4.94,2.32,1818.0,3.21,32.868,-121.116,1.402
0.213,49,6.06,2.67,3818.0,3.51,38.5113,-124.3384,0.911
0.264,23,6.73,3.69,3708.0,2.34,34.8005,-115.464,1.759
0.399,49,4.35,2.43,3564.0,3.24,41.3384,-118.9696,1.25
0.162,50,4.99,2.37,2707.0,1.16,38.3734,-115.561,0.227
0.346,3,5.6,2.57,541.0,1.65,36.3059,-118.0127,2.063
0.323,26,5.31,2.29,1477.0,3.4,39.4489,-122.393,0.912
0.242,22,6.35,3.2,2892.0,2.71,34.4702,-120.6868,1.127
0.179,25,8.94,4.18,2172.0,2.4,33.3686,-120.1188,1.371
0.305,16,5.92,2.78,1085.0,2.96,33.3301,-116.7329,1.776
0.247,28,4.76,2.3,3517.0,2.72,38.0366,-118.7442,1.418
0.323,25,4.2,2.02,2413.0,2.31,40.9443,-117.8167,1.195
0.3,10,5.17,2.68,3968.0,1.85,34.6162,-116.5927,1.168
0.521,15,4.56,2.11,2831.0,1.62,39.7205,-121.6245,1.748
0.273,8,5.97,2.79,1973.0,3.52,32.8574,-115.2391,1.743
0.208,43,5.95,2.96,722.0,2.7,35.8567,-119.7406,0.908
0.317,34,5.04,2.26,703.0,3.68,38.7103,-117.5582,1.152
0.321,20,7.48,3.25,2634.0,2.7,40.3494,-122.2089,2.165
0.478,20,4.76,2.13,1895.0,3.25,41.4603,-122.0496,2.235
0.398,4,5.38,three,3647.0,2.91,38.5094,-116.7826,1.469
0.337,15,6.14,2.9,3226.0,3.03,36.8954,-120.8207,1.192
0.496,47,6.39,3.33,1564.0,3.07,33.076,-115.3024,2.026
0.196,2,6.78,3.2,3847.0,2.69,35.1187,-117.5202,0.95
0.238,8,5.93,3.09,2915.0,2.14,41.2696,-117.513,0.906
0.215,43,6.55,2.78,4422.0,3.54,38.0375,-120.5072,0.608
0.259,27,4.83,2.14,4774.0,4.12,35.7554,-115.022,1.194
0.184,2,6.42,2.75,4817.0,4.16,34.8638,-114.5813,1.334
0.371,25,6.4,2.77,809.0,2.61,33.5797,-121.7916,2.631
0.275,38,7.01,3.43,2740.0,2.49,39.6402,-119.0971,1.173
0.178,18,3.83,1.9,338.0,2.61,36.4176,-114.9772,1.17
0.208,20,4.59,1.88,4424.0,2.88,41.3972,-123.4366,0.941
0.332,32,,3.06,3572.0,2.96,36.8167,-121.3754,1.298
0.399,30,2.85,1.56,1457.0,2.3,40.2746,-114.4785,1.005
0.598,46,5.99,2.6,3114.0,1.96,33.7373,-119.4078,2.139
0.824,13,6.56,3.08,2886.0,3.03,33.9336,-114.5089,3.766
0.344,14,4.92,2.05,2807.0,0.53,35.0955,-120.5082,1.755
0.21,8,5.07,2.36,2789.0,2.93,34.3167,-118.9613,0.947
0.141,34,4.43,2.11,4923.0,2.34,41.779,-119.7317,0.592
0.327,27,4.98,2.07,3889.0,3.55,40.1773,-119.6993,1.606
0.224,18,5.01,2.79,2131.0,3.73,35.8099,-114.864,1.439
0.257,35,4.82,2.43,3910.0,3.75,37.4383,-117.2063,0.473
0.24,19,4.76,2.48,876.0,2.76,37.5659,-114.5698,
0.283,10,5.23,3.15,1569.0,2.21,38.2685,-121.0399,1.566
0.432,27,5.22,2.29,763.0,2.43,33.4844,-114.0641,1.478
0.314,22,7.37,3.71,4452.0,3.2,35.8153,-117.0695,1.244
0.281,21,5.11,2.24,314.0,1.85,33.3163,-123.1212,1.342
0.207,23,5.84,2.68,4479.0,3.98,41.2311,-120.1641,0.825
0.165,46,4.92,2.22,4194.0,2.77,36.3328,-121.889,0.376
0.251,11,4.91,2.44,4751.0,3.35,39.4067,-122.0277,0.884
0.292,14,3.8,1.95,3876.0,1.75,41.2479,-114.7397,1.603
0.552,29,3.93,1.85,2396.0,2.35,35.4397,-114.4205,1.609
0.311,3,4.29,1.88,4095.0,1.67,33.3346,-124.3512,1.418
0.419,8,5.68,2.72,4939.0,3.71,35.6941,-123.0506,1.972
0.25,29,6.58,3.36,4483.0,2.89,38.8744,-121.5826,0.651
0.196,26,3.71,2.0,3967.0,3.4,37.2481,-115.5988,0.942
0.212,33,4.95,2.31,3880.0,3.04,33.2121,-118.0834,0.91
0.231,6,4.13,2.08,3335.0,3.33,33.1669,-118.563,0.978
0.626,43,5.24,2.51,4480.0,2.76,39.1458,-118.2181,2.44
0.223,25,6.58,3.2,2274.0,2.86,39.4972,-114.5188,1.209
0.399,8,5.05,2.51,2603.0,2.94,33.5403,-121.6042,1.984
0.217,16,5.45,2.53,4243.0,3.28,40.0498,-123.2051,0.439
0.412,12,6.96,3.15,1459.0,3.3,35.7828,-118.1179,2.507
0.34,23,5.96,2.39,3867.0,4.97,33.148,-114.3269,1.565
0.281,24,4.74,2.11,729.0,4.18,35.6717,-117.045,1.273
0.293,22,5.66,2.34,3010.0,1.75,39.4395,-115.1328,1.087
0.236,24,4.67,2.41,367.0,2.9,38.7299,-115.09,0.978
0.348,46,5.92,3.33,4986.0,2.72,37.074,-122.1978,1.105
0.254,48,6.02,2.87,4241.0,3.9,35.1567,-117.3012,0.552
0.194,25,4.13,1.82,1397.0,2.78,36.4703,-115.4467,0.865
0.19,49,5.68,2.53,920.0,3.33,36.1253,-123.4359,1.284
0.316,41,5.38,2.3,3280.0,1.36,36.2052,-117.6595,0.726
0.517,41,6.04,3.8,4527.0,1.94,37.1521,-121.644,2.043
0.314,12,6.33,2.69,1741.0,4.46,36.8252,-115.8725,1.601
0.285,22,5.98,2.76,4815.0,3.04,33.4735,-122.1563,1.085
0.329,18,5.2,2.9,2397.0,2.3,35.2566,-120.5791,1.413
0.47,5,6.43,2.87,2320.0,3.17,33.7265,-117.3942,2.407
0.321,4,4.63,2.17,1826.0,2.26,38.2199,-118.6638,1.514
0.257,32,4.18,1.92,1499.0,2.8,36.5167,-123.2403,0.567
0.438,22,,1.0,1805.0,1.98,38.8833,-122.1344,1.451
0.345,42,5.43,2.48,1030.0,2.45,33.3322,-115.1987,1.395
0.509,34,4.68,2.59,2008.0,2.71,35.7766,-114.1178,1.93
0.317,5,5.9,2.85,1590.0,3.78,34.2133,-117.2133,2.06
0.194,42,3.53,1.99,472.0,3.32,33.3748,-124.3975,0.2
0.184,25,4.85,2.18,1940.0,3.45,39.8477,-116.6943,1.012
0.53,29,5.97,2.51,391.0,2.98,33.7439,-117.7503,2.33
0.544,49,4.47,2.41,1068.0,3.58,34.1617,-120.1759,2.04
0.279,33,5.91,3.01,3679.0,2.39,35.9844,-122.1055,0.91
0.26,2,4.94,2.57,320.0,2.49,35.2812,-122.7602,1.685
0.496,9,5.47,2.72,1692.0,3.29,41.2383,-123.6229,1.915
0.202,22,6.1,2.79,3484.0,2.8,41.8921,-117.7877,1.161
0.217,2,6.45,3.21,301.0,2.99,36.5128,-120.9586,1.615
0.372,9,5.59,2.51,3739.0,2.89,34.4108,-119.0609,1.64
0.259,40,4.69,2.03,591.0,3.88,37.2321,-118.9853,0.676
0.297,8,5.04,2.17,464.0,3.91,37.2089,-118.1233,1.403
0.281,9,6.14,3.27,1140.0,2.56,36.9274,-118.2573,1.852
0.335,26,4.48,1.88,4329.0,1.77,32.6932,-119.0497,1.556
0.487,5,5.32,2.22,431.0,2.5,33.7196,-122.8713,2.88
0.307,13,5.11,2.12,673.0,2.37,33.8396,-124.216,1.672
0.372,47,5.4,2.61,4741.0,3.58,35.8417,-118.4501,1.264
0.145,32,4.49,2.3,3128.0,3.64,38.0175,-120.0562,0.604
0.292,49,3.65,1.92,2928.0,2.28,40.8395,-120.1938,1.219
0.221,18,6.02,3.2,394.0,2.47,34.6219,-119.9843,1.437
0.194,31,6.46,3.07,2091.0,1.96,39.8264,-123.3078,1.091
0.219,12,3.71,1.63,2966.0,3.09,34.649,-122.6177,0.726
0.265,19,5.87,2.49,2757.0,2.97,32.8099,-117.5474,1.26
0.41,9,6.58,3.29,2702.0,3.55,38.6737,-119.1053,2.218
0.187,42,6.1,2.91,741.0,3.35,34.539,-118.0985,0.698
0.301,10,5.08,2.44,4946.0,3.43,41.2367,-123.1419,1.056
0.251,11,4.56,2.31,3568.0,1.92,41.3675,-115.9515,1.001
0.265,24,,2.48,1359.0,2.56,33.4978,-120.5873,1.15
0.422,22,5.75,2.65,4854.0,3.66,34.3498,-118.0627,1.882
0.359,16,5.6,2.63,1647.0,2.62,34.4989,-119.6106,1.887
0.475,18,5.32,2.45,827.0,1.86,41.1587,-119.5826,2.166
0.282,15,4.42,1.99,4486.0,3.57,33.2412,-116.3249,1.153
0.233,46,5.92,2.67,932.0,2.6,39.6361,-123.3413,1.087
0.275,30,5.97,3.09,492.0,3.74,35.2332,-123.7147,0.227
0.324,46,5.7,2.5,3217.0,2.99,38.0331,-123.4389,0.949
0.316,50,5.61,2.61,1467.0,2.81,34.1842,-114.0493,1.405
0.203,33,7.18,3.57,929.0,3.95,40.162,-114.7649,0.995
0.307,42,4.88,2.27,691.0,2.09,38.8723,-117.1442,1.406
0.322,6,6.78,3.13,805.0,4.0,32.7009,-119.8008,2.223
0.718,48,4.77,2.06,4812.0,2.55,34.7528,-123.6068,2.166
0.573,25,6.61,3.5,3418.0,3.11,36.9303,-115.8806,2.355
0.221,36,6.73,2.85,4245.0,3.12,37.5462,-122.5109,1.063
0.269,13,5.21,2.47,3169.0,2.7,40.3591,-121.6352,1.218
0.178,5,7.16,3.58,2808.0,2.47,36.1762,-115.6717,1.486
0.242,45,5.97,3.0,1245.0,2.74,41.305,-121.798,0.357
0.332,23,4.62,2.43,4843.0,2.29,34.3419,-115.6319,0.868
0.453,7,15.39,2.93,83020.0,4.37,40.6483,-116.2476,3.032
0.23,33,6.63,2.97,2735.0,2.66,41.0908,-115.7085,0.427
0.236,3,6.42,2.57,705.0,3.81,38.4535,-117.4199,1.463
0.14,23,4.44,2.5,3848.0,3.72,41.6915,-120.8027,0.2
0.281,36,5.36,2.81,1796.0,3.25,36.4006,-117.6417,1.003
0.205,37,5.7,2.53,1203.0,2.91,39.1432,-115.7944,0.821
0.247,23,4.99,2.39,3746.0,3.14,32.5959,-116.6311,1.088
0.219,19,7.86,3.47,4218.0,3.4,35.1095,-115.4487,1.324
0.288,42,5.73,2.76,3146.0,3.07,37.8805,-114.1729,0.584
0.161,10,5.44,2.74,555.0,1.9,40.8214,-117.2535,1.153
0.178,4,6.69,3.26,3080.0,1.73,41.5528,-114.7547,1.956
0.626,8,5.13,3.16,4610.0,4.06,38.0046,-121.6463,2.706
0.189,41,6.51,3.48,3494.0,1.16,40.6308,-114.2784,1.027
0.203,24,3.83,1.67,1474.0,3.14,40.0927,-114.9416,0.688
0.566,2,5.05,2.16,3303.0,2.84,39.8499,-124.0669,2.22
0.822,9,6.55,2.75,1395.0,3.11,33.5589,-118.3003,3.669
0.197,2,7.07,3.23,4396.0,2.2,37.0471,-119.2188,1.402
0.261,41,4.73,2.87,4259.0,3.25,37.1195,-115.9361,0.359
0.335,24,4.61,2.34,2930.0,3.14,39.9809,-123.1734,1.301
0.545,4,6.07,2.57,849.0,4.93,38.068,-118.9598,2.495
0.21,12,4.88,2.01,2126.0,3.09,40.2886,-119.2367,0.543
0.273,31,5.23,2.2,779.0,3.94,41.5863,-120.3468,1.032
0.39,30,6.38,3.11,3877.0,1.95,37.7693,-114.0821,2.068
0.346,41,4.96,2.7,3467.0,3.71,40.0213,-118.8348,1.162
0.261,2,3.53,1.69,1444.0,3.16,37.8253,-120.1609,0.2
0.284,4,4.2,2.0,4310.0,3.19,38.4442,-115.5078,0.888
0.184,2,5.51,2.28,3846.0,3.2,37.0221,-123.0399,1.341
0.274,20,3.64,1.69,4694.0,4.19,41.6162,-121.4806,0.696
0.271,37,5.2,2.47,1543.0,3.18,40.267,-121.5716,1.251
0.322,34,4.11,1.94,1038.0,2.45,39.6434,-114.6961,0.977
0.245,11,7.14,3.28,2505.0,2.57,35.631,-115.2565,1.606
0.351,33,7.67,3.44,1472.0,3.57,37.1114,-118.1298,1.971
0.424,33,4.44,2.27,3748.0,3.31,40.6976,-121.1439,1.158
0.314,10,5.76,3.05,2242.0,1.93,41.3956,-119.5849,1.735
0.336,38,4.54,1.91,3212.0,3.36,41.9767,-118.503,1.552
0.303,22,5.19,2.93,1024.0,2.24,39.4771,-118.8291,1.458
0.297,3,7.3,3.01,611.0,3.31,39.443,-121.8127,2.074
0.231,20,5.03,2.93,4700.0,2.44,33.3918,-123.1299,0.595
0.332,39,5.21,2.63,2343.0,2.8,39.6396,-114.9698,1.502
0.287,35,4.56,1.99,868.0,2.62,35.794,-117.7711,0.93
0.619,14,6.65,3.16,4096.0,4.06,40.7139,-122.9765,3.01
0.516,38,2.24,1.22,837.0,3.28,32.6069,-114.1066,1.393
0.34,20,5.06,2.31,4984.0,3.88,41.3767,-120.1816,1.577
0.228,24,5.45,2.58,2053.0,5.03,37.0969,-116.8038,1.372
0.201,5,4.84,2.35,2440.0,3.03,33.7156,-122.6445,1.326
0.451,50,6.36,3.22,1444.0,4.05,38.2095,-114.706,1.489
0.326,42,6.7,3.2,612.0,2.51,39.0743,-123.6683,1.354
0.352,10,4.09,2.06,2162.0,3.88,39.9081,-114.4639,0.936
0.161,29,7.59,2.94,1957.0,2.43,39.1676,-116.8652,0.754
0.411,40,4.08,1.99,2350.0,2.99,37.7571,-122.1139,1.701
0.349,26,6.79,3.35,2551.0,3.38,33.2785,-122.6005,1.446
0.202,11,5.65,2.84,3226.0,3.49,40.6975,-115.7104,0.723
0.252,49,,2.03,552.0,2.11,41.8423,-124.0808,0.947
0.326,14,5.09,2.87,1940.0,2.39,39.8911,-123.3001,1.216
0.303,17,5.47,2.52,4348.0,3.43,32.8301,-117.435,1.955
0.268,19,5.71,2.78,4768.0,2.74,39.6791,-123.6876,1.085
0.287,45,4.58,2.52,2786.0,2.02,35.0616,-118.8169,0.963
0.272,26,5.27,2.72,1957.0,2.95,41.64,-118.4724,0.942
0.314,36,4.73,2.19,2197.0,2.92,33.1033,-124.3123,0.617
0.498,46,4.28,2.22,3954.0,3.12,33.3765,-120.5398,1.178
0.121,47,4.68,2.18,2106.0,3.37,34.223,-124.2004,0.2
0.274,43,4.35,1.78,4735.0,3.33,39.655,-114.3477,0.477
0.316,46,5.08,2.38,335.0,2.46,38.6883,-122.2391,0.734
0.33,48,5.93,3.28,3108.0,2.71,39.4087,-117.258,1.248
0.261,50,5.62,2.91,2690.0,3.65,35.8619,-117.4255,0.803
0.161,33,7.47,3.66,2367.0,2.62,40.856,-116.3916,0.576
0.333,7,3.29,1.62,2482.0,2.72,36.7394,-120.9791,1.174
0.544,6,5.97,2.8,962.0,1.95,33.7741,-122.5638,2.844
0.174,40,5.51,2.55,1860.0,2.98,39.791,-118.9297,1.108
0.402,16,6.32,2.58,1896.0,3.24,37.5306,-117.2095,1.303
0.265,41,6.22,2.96,3361.0,1.62,38.1374,-116.5693,0.884
0.291,47,5.34,2.85,3071.0,2.25,36.1586,-123.9864,0.561
0.206,33,5.67,2.43,2172.0,2.0,39.2518,-116.5971,0.759
0.264,39,4.76,2.02,2683.0,3.55,32.8379,-123.3195,1.322
0.469,14,6.11,2.85,2944.0,1.66,37.1662,-118.9912,1.95
0.365,22,3.62,1.77,426.0,2.94,36.558,-118.6682,1.136
0.545,49,6.28,2.82,4448.0,3.5,39.5915,-123.166,1.839
0.449,41,5.48,2.66,4483.0,3.13,35.0258,-114.378,2.038
0.347,11,5.01,2.97,1946.0,2.69,34.7203,-117.8008,0.804
0.547,47,5.27,2.38,3853.0,3.24,35.5384,-122.1491,1.693
0.347,25,5.34,2.34,2110.0,3.73,37.0652,-123.9656,1.234
0.397,43,6.8,2.85,524.0,2.92,34.4938,-116.3623,1.406
0.268,27,8.73,4.47,4356.0,1.43,39.0,-115.6662,1.985
0.304,31,6.72,3.13,1484.0,3.8,35.6503,-123.5484,1.044
0.233,9,4.93,2.3,1918.0,3.28,36.5045,-121.797,1.027
0.42,17,6.13,2.9,2963.0,2.98,37.7971,-117.755,1.927
0.197,37,6.17,2.91,2308.0,1.61,36.0803,-120.1007,0.716
0.391,43,4.57,2.17,,2.79,39.1617,-120.9036,0.798
0.278,5,4.24,1.98,4043.0,2.39,38.7339,-120.0433,1.048
0.448,4,5.44,2.42,1908.0,2.15,39.6899,-119.1943,1.869
0.387,35,6.31,2.69,3040.0,2.9,37.4685,-122.561,1.952
0.562,23,3.89,2.0,3394.0,2.62,35.9905,-120.4253,1.924
0.384,43,4.78,2.31,4682.0,2.67,34.4107,-123.7668,1.725
0.172,4,6.07,3.01,2498.0,3.52,36.6504,-124.4364,1.177
0.29,18,5.54,2.79,2459.0,3.18,40.7936,-114.2605,1.517
0.197,2,6.92,3.89,4582.0,2.65,33.6497,-123.9245,1.128
0.248,36,4.09,1.94,2499.0,2.56,34.5463,-124.0435,1.265
0.505,43,7.85,3.58,1629.0,2.68,38.8198,-115.1554,2.559
0.372,8,3.96,1.91,406.0,2.83,37.962,-114.2516,1.481
0.233,17,3.47,1.65,1759.0,3.41,41.2038,-115.6324,0.983
0.209,43,5.44,2.49,1147.0,2.27,32.7758,-123.0347,0.68
0.301,3,4.37,1.83,1663.0,4.02,40.8459,-117.7849,1.227
0.194,48,5.46,2.71,2791.0,3.41,39.3922,-117.1823,0.823
0.235,45,5.43,2.91,2719.0,1.08,39.8674,-116.3975,1.039
0.332,8,5.3,2.55,1098.0,3.06,36.0973,-123.3147,1.821
0.445,7,4.66,1.88,2427.0,3.73,35.4196,-120.3971,1.82
0.368,35,5.93,3.18,2377.0,3.27,32.6366,-121.601,1.609
0.133,1,5.18,2.32,405.0,2.71,39.9803,-117.6276,1.321
0.331,26,6.6,2.83,1559.0,2.96,34.0348,-120.8922,1.395
0.305,4,5.32,3.27,3669.0,3.12,34.6482,-119.1574,1.367
0.344,27,4.54,2.08,299.0,3.54,35.1273,-117.9224,0.5
0.523,18,11.43,1.72,32880.0,2.01,40.7619,-115.409,4.044
0.144,36,5.33,2.6,2480.0,2.58,35.2351,-114.8304,0.353
0.242,45,4.23,2.15,999.0,4.15,36.544,-117.2188,0.51
0.366,25,4.15,2.09,3302.0,3.02,39.5998,-122.8579,1.168
0.171,33,6.03,2.96,3635.0,4.07,40.9766,-115.1664,0.954
0.498,31,3.72,1.83,1823.0,5.09,40.0162,-122.3526,2.275
0.338,50,6.91,3.45,1305.0,2.66,37.5864,-123.9415,1.103
0.4,12,5.66,2.79,3927.0,2.16,32.5207,-119.9087,1.485
0.243,12,5.46,2.33,1232.0,2.81,33.9995,-117.3113,1.381
0.395,19,4.47,2.4,901.0,3.77,34.9092,-122.9317,1.337
0.432,37,6.26,3.58,358.0,3.87,36.4308,-121.3567,2.191
0.323,44,5.5,2.35,638.0,4.59,35.9408,-123.6594,1.29
0.323,14,4.81,2.34,4383.0,2.97,37.3869,-118.0088,1.506
0.327,6,5.7,2.82,4687.0,3.34,36.4143,-117.0635,1.419
0.22,31,3.82,1.84,2820.0,2.5,39.3976,-119.0433,0.804
0.282,30,3.86,1.8,4623.0,1.25,32.9962,-119.8335,0.455
0.282,19,4.38,2.2,3593.0,2.97,41.9499,-115.5991,1.592
0.34,10,5.85,2.66,2151.0,2.19,40.5091,-120.0985,1.21
0.422,43,5.5,2.88,3623.0,3.45,35.6822,-119.8614,1.271
0.205,43,6.55,3.21,2215.0,1.68,36.2696,-118.4381,0.546
0.285,38,4.58,2.76,4817.0,2.48,41.6552,-117.1096,1.001
0.499,29,6.07,2.6,4284.0,3.19,41.3901,-116.3412,2.228
0.229,14,5.39,2.61,4254.0,3.26,36.2351,-124.0714,0.674
0.223,21,4.56,2.04,2746.0,2.97,33.0664,-115.5629,1.179
0.319,4,5.89,2.68,2687.0,4.31,41.8857,-119.7611,1.469
0.4,13,5.43,2.46,762.0,4.1,38.7107,-114.9883,2.003
